quantile,time,best,aic_average,lower_ma,upper_ma,empirical,dataset
10%,7403.2,-9.692,-9.774,-10.692,-8.829,NA,Seizure data
36.7%,9915.8,-9.324,-9.404,-10.197,-8.804,NA,Seizure data
63.3%,17221.6,-9.029,-9.03,-9.811,-8.538,NA,Seizure data
90%,28318,-8.976,-8.928,-9.857,-8.273,NA,Seizure data
10%,23.03,-3.102,-3.151,-3.621,-2.74,NA,Airplane glass data
23.3%,25.5,-2.661,-2.708,-3.129,-2.374,NA,Airplane glass data
36.7%,26.77,-2.49,-2.529,-2.937,-2.195,NA,Airplane glass data
50%,29.9,-2.174,-2.192,-2.594,-1.811,NA,Airplane glass data
63.3%,33.76,-1.92,-1.915,-2.385,-1.546,NA,Airplane glass data
76.7%,35.91,-1.819,-1.803,-2.318,-1.418,NA,Airplane glass data
90%,39.58,-1.689,-1.659,-2.237,-1.214,NA,Airplane glass data
