"scenario","n","method","quantity","time","n_success","n_ci_success","bias","mse","rmse","se","coverage","avg_ci_width"
"S1_Gamma_well_specified",50,"AIC_MA","hazard",150,20,20,0.000213357446168913,3.13080587757074e-07,0.000559536046879085,0.000530698832148263,1,0.00280238840773291
"S1_Gamma_well_specified",50,"AIC_MA","hazard",200,20,20,0.000351673842473856,5.57135276604968e-07,0.000746414949344511,0.000675480947664342,1,0.00308034289820196
"S1_Gamma_well_specified",50,"AIC_MA","mean",NA,20,20,-1.65165069102201,268.087687468572,16.3733835070389,16.7130499740525,1,108.430680536018
"S1_Gamma_well_specified",50,"AIC_MA","probability",NA,20,20,-0.160609061018156,0.0607964128597433,0.24656928612409,0.191946106412601,0.95,1.00008650161442
"S1_Gamma_well_specified",50,"Best_AIC","hazard",150,20,20,0.000197822932719441,4.16821951984863e-07,0.000645617496653291,0.00063052863307841,0.9,0.00213852691158548
"S1_Gamma_well_specified",50,"Best_AIC","hazard",200,20,20,0.000329905046772661,6.8052010999712e-07,0.00082493642785194,0.00077573921968597,0.85,0.00239005239786114
"S1_Gamma_well_specified",50,"Best_AIC","mean",NA,20,20,-2.44455377199509,267.993451852514,16.3705055466383,16.6074684755586,1,94.1093397072605
"S1_Gamma_well_specified",50,"Best_AIC","probability",NA,20,20,-0.173594618997003,0.0723649204945622,0.269007287065912,0.210837499785092,0.9,0.856531544072806
"S1_Gamma_well_specified",50,"Generating","hazard",150,20,20,3.98466967911971e-05,1.16132020331374e-07,0.000340781484724998,0.00034723609605934,1,0.0020251057502349
"S1_Gamma_well_specified",50,"Generating","hazard",200,20,20,0.0001382706704708,2.13070315466682e-07,0.000461595402345693,0.000451840140751056,1,0.00234236373419344
"S1_Gamma_well_specified",50,"Generating","mean",NA,20,20,-3.55377863235623,269.556828554622,16.4181859093696,16.4453636399228,1,93.3393835922788
"S1_Gamma_well_specified",50,"Generating","probability",NA,20,20,-0.202561839391394,0.0644940363159675,0.253956760721127,0.1571547595888,0.95,0.889113615164143
"S1_Gamma_well_specified",100,"AIC_MA","hazard",150,20,20,5.1715283707252e-05,1.2913468112777e-07,0.000359353142643514,0.000364850669609605,1,0.00191292919919724
"S1_Gamma_well_specified",100,"AIC_MA","hazard",200,20,20,3.15886722934698e-05,1.67037009962311e-07,0.000408701614827138,0.0004180646710801,1,0.00216466988794608
"S1_Gamma_well_specified",100,"AIC_MA","mean",NA,20,20,4.31648219568294,374.000366076899,19.3390890705043,19.3409396041076,0.95,81.9917222988164
"S1_Gamma_well_specified",100,"AIC_MA","probability",NA,20,20,-0.231246024380257,0.0761416033345741,0.275937680164515,0.154466414482412,0.85,0.72495483035836
"S1_Gamma_well_specified",100,"Best_AIC","hazard",150,20,20,5.05125599739242e-05,1.92185978061795e-07,0.00043839021209625,0.000446783191676816,0.95,0.00156875520096592
"S1_Gamma_well_specified",100,"Best_AIC","hazard",200,20,20,4.5859857500087e-05,2.20856400813994e-07,0.000469953615598384,0.000479861026245665,0.95,0.00176670097382585
"S1_Gamma_well_specified",100,"Best_AIC","mean",NA,20,20,3.89735122404708,387.374793712602,19.6818391852134,19.7932856012767,0.9,76.5559677781914
"S1_Gamma_well_specified",100,"Best_AIC","probability",NA,20,20,-0.230278127838007,0.0785863510587821,0.280332572240156,0.164022896021143,0.8,0.665565412117729
"S1_Gamma_well_specified",100,"Generating","hazard",150,20,20,-4.70309935161912e-06,1.28407822800939e-07,0.00035834037283139,0.000367617798746453,0.9,0.00139672266789128
"S1_Gamma_well_specified",100,"Generating","hazard",200,20,20,-4.4643659478144e-05,1.55841892180288e-07,0.000394768149906104,0.000402425325990573,0.85,0.00161697865015699
