"scenario","n","method","quantity","time","n_success","bias","mse","rmse","se"
"S1_Gamma_well_specified",20,"AIC_MA","hazard",150,30,0.000279248844125274,9.00727322606452e-07,0.000949066553307223,0.000922560570291383
"S1_Gamma_well_specified",20,"AIC_MA","hazard",200,30,0.000404090009702615,8.60404136658413e-07,0.000927579719839979,0.000849207785415702
"S1_Gamma_well_specified",20,"AIC_MA","mean",NA,30,-5.7472228837234,1194.05502021238,34.5551012183785,34.6563093126836
"S1_Gamma_well_specified",20,"AIC_MA","probability",NA,30,-0.107047557246807,0.119951199027199,0.346339716214008,0.33501212461027
"S1_Gamma_well_specified",20,"Best_AIC","hazard",150,30,0.0001798248358588,1.01536155673087e-06,0.00100765150559649,0.00100842549780675
"S1_Gamma_well_specified",20,"Best_AIC","hazard",200,30,0.000339662583287776,1.017930756988e-06,0.00100892554581,0.000966272657227658
"S1_Gamma_well_specified",20,"Best_AIC","mean",NA,30,-8.8734347464159,1247.14981013212,35.3150082844691,34.7663923023949
"S1_Gamma_well_specified",20,"Best_AIC","probability",NA,30,-0.131850019487048,0.1419873486418,0.376812086645054,0.359025867384854
"S1_Gamma_well_specified",20,"Generating","hazard",150,30,0.000183382934425281,7.2211949270841e-07,0.000849776142703718,0.000843937932063635
"S1_Gamma_well_specified",20,"Generating","hazard",200,30,0.000282222785718124,7.45792539562831e-07,0.000863592808887864,0.000830128472889007
"S1_Gamma_well_specified",20,"Generating","mean",NA,30,-9.19126223484687,1238.19058399719,35.1879323632007,34.5469887284091
"S1_Gamma_well_specified",20,"Generating","probability",NA,30,-0.140251739368907,0.128934280478568,0.359074199126821,0.336201494513331
"S1_Gamma_well_specified",50,"AIC_MA","hazard",150,30,0.000144758945163444,3.37102663727095e-07,0.000580605428606291,0.000571882111847027
"S1_Gamma_well_specified",50,"AIC_MA","hazard",200,30,0.00027497543302347,5.40708042378146e-07,0.000735328526835554,0.000693638497926123
"S1_Gamma_well_specified",50,"AIC_MA","mean",NA,30,-3.70964492904817,338.652881801876,18.402523788923,18.3328821680757
"S1_Gamma_well_specified",50,"AIC_MA","probability",NA,30,-0.170205481738741,0.0725424569870797,0.269337069463302,0.212308861639965
"S1_Gamma_well_specified",50,"Best_AIC","hazard",150,30,0.000109692400776522,4.73017841020689e-07,0.000687762925011729,0.000690566048352468
"S1_Gamma_well_specified",50,"Best_AIC","hazard",200,30,0.000203173681591627,6.22470627319711e-07,0.00078896807750359,0.000775391613467727
"S1_Gamma_well_specified",50,"Best_AIC","mean",NA,30,-5.06638333477905,352.771653074903,18.7822164047511,18.3951852671771
"S1_Gamma_well_specified",50,"Best_AIC","probability",NA,30,-0.189023263409146,0.0861516138682883,0.293515951641965,0.228386740417195
"S1_Gamma_well_specified",50,"Generating","hazard",150,30,8.06642321326613e-05,1.57887381073727e-07,0.000397350451206145,0.000395728044976434
"S1_Gamma_well_specified",50,"Generating","hazard",200,30,0.000196382335536969,2.69568726856001e-07,0.000519200083644062,0.000488843856121041
"S1_Gamma_well_specified",50,"Generating","mean",NA,30,-5.56360726351094,359.534003475051,18.961381897822,18.4366654277732
"S1_Gamma_well_specified",50,"Generating","probability",NA,30,-0.182540460144679,0.0630479630153647,0.25109353439578,0.175362511501767
"S1_Gamma_well_specified",100,"AIC_MA","hazard",150,30,0.000176407159862009,2.34995710775878e-07,0.000484763561724557,0.000459245510997111
"S1_Gamma_well_specified",100,"AIC_MA","hazard",200,30,0.000223032177805361,3.92194997774827e-07,0.000626254738724448,0.00059519771745793
"S1_Gamma_well_specified",100,"AIC_MA","mean",NA,30,-3.95781805702306,276.603339512075,16.6313961985179,16.4297569316787
"S1_Gamma_well_specified",100,"AIC_MA","probability",NA,30,-0.168071780946865,0.056953719872352,0.238649784982832,0.172323661958319
"S1_Gamma_well_specified",100,"Best_AIC","hazard",150,30,0.000174565952313215,2.62685792303903e-07,0.000512528820949518,0.000490122279531677
"S1_Gamma_well_specified",100,"Best_AIC","hazard",200,30,0.00022879267421368,4.35125484962736e-07,0.000659640420958825,0.000629268374183167
"S1_Gamma_well_specified",100,"Best_AIC","mean",NA,30,-4.76280182720812,290.150199944049,17.0337958172584,16.6339676990351
"S1_Gamma_well_specified",100,"Best_AIC","probability",NA,30,-0.170093252981917,0.0591739142466792,0.24325688941257,0.176875758665488
"S1_Gamma_well_specified",100,"Generating","hazard",150,30,0.000127008603543293,1.0526948432089e-07,0.00032445259179253,0.000303664343302463
"S1_Gamma_well_specified",100,"Generating","hazard",200,30,0.000184233447593902,2.23968881242589e-07,0.000473253506318325,0.000443372947275907
"S1_Gamma_well_specified",100,"Generating","mean",NA,30,-5.74771265422507,282.351501707038,16.8033181754985,16.0596506903063
"S1_Gamma_well_specified",100,"Generating","probability",NA,30,-0.174589671551318,0.0512056500401899,0.226286654578192,0.146419673027366
