"scenario","n","method","quantity","time","median_estimate","median_error","mae","median_abs_error","max_abs_error"
"S1_Gamma_well_specified",20,"AIC_MA","hazard",150,0.00352337707096737,0.000419928795105303,0.000826266030710454,0.000773038221544191,0.0018423537087343
"S1_Gamma_well_specified",20,"AIC_MA","hazard",200,0.00448017705607612,0.00048017705607612,0.000789912012073,0.000795180470342299,0.00214126461774031
"S1_Gamma_well_specified",20,"AIC_MA","mean",NA,284.634675622213,-15.3653243777874,29.6166017030872,25.6999306957756,75.4525121978398
"S1_Gamma_well_specified",20,"AIC_MA","probability",NA,0.552063703151746,-0.0336478859169006,0.264537331272415,0.184416353977208,0.896142416789708
"S1_Gamma_well_specified",20,"Best_AIC","hazard",150,0.0031589868053149,5.55385294528261e-05,0.000807173445968687,0.000747951838817837,0.00192595577374969
"S1_Gamma_well_specified",20,"Best_AIC","hazard",200,0.00434753543550486,0.000347535435504864,0.000814680692418642,0.000712939013131975,0.00193689037398798
"S1_Gamma_well_specified",20,"Best_AIC","mean",NA,282.956749597574,-17.0432504024258,30.323248769371,28.3603657625581,70.7100525716616
"S1_Gamma_well_specified",20,"Best_AIC","probability",NA,0.479212950744012,-0.106498638324635,0.285629966992369,0.203406936963487,0.998227159531765
"S1_Gamma_well_specified",20,"Generating","hazard",150,0.00350416719986654,0.000400718924004473,0.000745906007888846,0.000726883383106393,0.00166581493560163
"S1_Gamma_well_specified",20,"Generating","hazard",200,0.00446620648078,0.000466206480780002,0.000747762810869958,0.000681070980042742,0.00193689037398798
"S1_Gamma_well_specified",20,"Generating","mean",NA,282.717071054499,-17.2829289455015,30.3564445476779,28.4249417141236,70.4840519876361
"S1_Gamma_well_specified",20,"Generating","probability",NA,0.52503424825487,-0.0606773408137767,0.274644089395431,0.215733200378151,0.856325266181495
"S1_Gamma_well_specified",50,"AIC_MA","hazard",150,0.00333626710994673,0.000232818834084663,0.000468857888987791,0.000452213610308927,0.00146061244328952
"S1_Gamma_well_specified",50,"AIC_MA","hazard",200,0.00446343632333376,0.000463436323333757,0.000614473676308913,0.000551013568453445,0.00159611557325545
"S1_Gamma_well_specified",50,"AIC_MA","mean",NA,295.28387533922,-4.71612466077991,14.5711961221258,10.8560536830929,44.3204309505158
"S1_Gamma_well_specified",50,"AIC_MA","probability",NA,0.470429928979423,-0.115281660089224,0.201279533069156,0.129787770054836,0.695692625966795
